username,add,address,album,android,area,arguments,basic,binary,bug,build,button,ci,cli,code,command,compiler,config,contextprovider,continue,contract,copy,correctly,crash,create,creating,data,date,device,diff,different,documentation,doesn,don,dropdown,edit,editing,enhancement,ente,entire,env,error,exceeded,export,failed,feature,fields,file,files,function,generated,good,help,implement,improve,improved,info,ios,issue,k8s,keyboard,kubernetes,line,lines,link,llm,llvm,maximum,messages,metadata,mobile,module,multiple,names,native,need,new,ops,photos,planned,platform,playing,probably,prompt,provider,rbpf,refactor,report,rest,run,running,runtime,scalar,scaleway,serialization,server,settings,setup,shortcuts,slash,sort,specific,status,stdlib,struct,support,symbol,symbols,tab,test,tests,testutils,text,translate,type,unit,update,use,usually,vector,video,vs,wanted,web,windows,write
brson,0.047579843132643074,0.2358959566835614,0.0,0.0,0.0,0.0,0.1179479783417807,0.0,0.11240568729980772,0.0,0.0,0.17692196751267106,0.0,0.0,0.0,0.17692196751267106,0.0,0.0,0.0,0.1179479783417807,0.0,0.05897398917089035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05897398917089035,0.0,0.0,0.0,0.13289966720080312,0.0,0.0,0.05897398917089035,0.0,0.0,0.0,0.0,0.0,0.17692196751267106,0.0,0.039495567863199195,0.05897398917089035,0.05897398917089035,0.0,0.14273952939792922,0.05897398917089035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17692196751267106,0.0,0.17692196751267106,0.0,0.0,0.0,0.0,0.05897398917089035,0.05897398917089035,0.05897398917089035,0.29486994585445175,0.0,0.0,0.1179479783417807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2358959566835614,0.0,0.0,0.0,0.1179479783417807,0.0,0.2358959566835614,0.05897398917089035,0.0,0.17692196751267106,0.0,0.0,0.05897398917089035,0.0,0.0,0.0,0.29486994585445175,0.0,0.05897398917089035,0.05897398917089035,0.0,0.2358959566835614,0.1179479783417807,0.0,0.29486994585445175,0.29486994585445175,0.05897398917089035,0.0,0.05897398917089035,0.0,0.0,0.0,0.0,0.1179479783417807,0.17692196751267106,0.0,0.0,0.14273952939792922,0.0,0.0,0.0
ItzCrazyKns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3477147117091918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7297183669435992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5887321837696323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ua741,0.08770995217498707,0.0,0.10871422495712751,0.2717855623928188,0.0,0.0,0.0,0.0,0.025901455343645987,0.0,0.0,0.0,0.05435711247856376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05435711247856376,0.0,0.0,0.21742844991425503,0.2717855623928188,0.16307133743569127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06124769801025724,0.2717855623928188,0.0,0.0,0.0,0.0,0.05435711247856376,0.0,0.21742844991425503,0.0,0.0,0.14561436693886481,0.0,0.0,0.17541990434997415,0.21927488043746768,0.0,0.0,0.0,0.21742844991425503,0.05435711247856376,0.08770995217498707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10871422495712751,0.2717855623928188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16307133743569127,0.10871422495712751,0.10871422495712751,0.2717855623928188,0.0,0.0,0.0,0.0,0.0,0.16307133743569127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2717855623928188,0.0,0.05435711247856376,0.0,0.0,0.08770995217498707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10871422495712751,0.0,0.0,0.0,0.0,0.0,0.2717855623928188,0.0,0.21927488043746768,0.10871422495712751,0.0,0.0
sestinj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14733849374574376,0.14041516343092847,0.0,0.07366924687287188,0.0,0.0,0.14733849374574376,0.14733849374574376,0.0,0.07366924687287188,0.07366924687287188,0.2946769874914875,0.0,0.07366924687287188,0.0,0.0,0.07366924687287188,0.0,0.0,0.0,0.0,0.11887176903547025,0.07366924687287188,0.14733849374574376,0.14733849374574376,0.0,0.07366924687287188,0.22100774061861564,0.07366924687287188,0.16601587462513293,0.0,0.14733849374574376,0.0,0.11887176903547025,0.07366924687287188,0.0,0.07366924687287188,0.0,0.0,0.22100774061861564,0.09867430642573774,0.0,0.0,0.17830765355320538,0.0,0.0,0.07366924687287188,0.14733849374574376,0.0,0.0,0.2377435380709405,0.0,0.14733849374574376,0.0,0.07366924687287188,0.07366924687287188,0.0,0.07366924687287188,0.0,0.07366924687287188,0.07366924687287188,0.0,0.0,0.0,0.0,0.0,0.0,0.07366924687287188,0.17830765355320538,0.0,0.0,0.0,0.0,0.0,0.07366924687287188,0.14733849374574376,0.14733849374574376,0.0,0.14733849374574376,0.0,0.07366924687287188,0.0,0.14733849374574376,0.0,0.0,0.0,0.0,0.07366924687287188,0.07366924687287188,0.0,0.14733849374574376,0.14733849374574376,0.0,0.0,0.0,0.0,0.0,0.2377435380709405,0.0,0.0,0.07366924687287188,0.0,0.0,0.0,0.14733849374574376,0.0,0.0,0.07366924687287188,0.22100774061861564,0.07366924687287188,0.0,0.0,0.0,0.14733849374574376,0.0,0.0,0.14733849374574376,0.07366924687287188
maxbrunet,0.0,0.0,0.0,0.0,0.3569996893256164,0.3569996893256164,0.0,0.0,0.17011226478245164,0.3569996893256164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2880251014950749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20112739772733365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3569996893256164,0.0,0.3569996893256164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2880251014950749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3569996893256164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
